"LOINC_NUM","LONG_COMMON_NAME","ORDER_OBS"
"14310-7","Phencyclidine [Presence] in Urine by Screen method >25 ng/mL","Both"
"3948-7","PHENobarbital [Mass/volume] in Serum or Plasma","Both"
"29573-3","Phenylalanine [Moles/volume] in DBS","Both"
"14875-9","Phenylalanine [Moles/volume] in Serum or Plasma","Both"
"29571-7","Phenylalanine [Presence] in DBS","Both"
"3968-5","Phenytoin [Mass/volume] in Serum or Plasma","Both"
"3969-3","Phenytoin Free [Mass/volume] in Serum or Plasma","Both"
"2779-7","Phosphate [Mass/time] in 24 hour Urine","Both"
"2777-1","Phosphate [Mass/volume] in Serum or Plasma","Both"
"2778-9","Phosphate [Mass/volume] in Urine","Both"
"30165-5","Phosphatidylcholine/Albumin [Mass Ratio] in Amniotic fluid","Both"
"32031-7","Phosphatidylserine IgA Ab [Units/volume] in Serum by Immunoassay","Both"
"9326-0","Phosphatidylserine IgG Ab [Presence] in Serum by Immunoassay","Both"
"32032-5","Phosphatidylserine IgG Ab [Units/volume] in Serum by Immunoassay","Both"
"9327-8","Phosphatidylserine IgM Ab [Presence] in Serum by Immunoassay","Both"
"14246-3","Phosphatidylserine IgM Ab [Units/volume] in Serum","Both"
"32033-3","Phosphatidylserine IgM Ab [Units/volume] in Serum by Immunoassay","Both"
"9622-2","Phytonadione [Mass/volume] in Serum or Plasma","Both"
"6733-0","Pigeon serum Ab [Presence] in Serum by Immune diffusion (ID)","Both"
"10954-6","Pine Nut IgE Ab [Units/volume] in Serum","Both"
"7613-3","Pistachio IgE Ab [Units/volume] in Serum","Both"
"637-9","Plasmodium sp identified in Blood by Thick film","Both"
"33594-3","Platelet factor 4 [Presence] in Platelet poor plasma","Both"
"6002-0","Platelet factor 4 [Units/volume] in Platelet poor plasma","Both"
"72257-9","Platelet function.collagen + Adenosine diphosphate induced and EPINEPHrine induced panel - Blood","Order"
"26515-7","Platelets [#/volume] in Blood","Both"
"777-3","Platelets [#/volume] in Blood by Automated count","Both"
"700-5","Pneumocystis jiroveci Ag [Presence] in Unspecified specimen by Immunofluorescence","Both"
"5716-6","Polychlorinated biphenyl (PCB) [Mass/volume] in Serum or Plasma","Both"
"6219-0","Pork IgE Ab [Units/volume] in Serum","Both"
"6298-4","Potassium [Moles/volume] in Blood","Both"
"2823-3","Potassium [Moles/volume] in Serum or Plasma","Both"
"2828-2","Potassium [Moles/volume] in Urine","Both"
"6220-8","Potato IgE Ab [Units/volume] in Serum","Both"
"14338-8","Prealbumin [Mass/volume] in Serum or Plasma","Both"
"2837-3","Pregnenolone [Mass/volume] in Serum or Plasma","Both"
"7632-3","Privet IgE Ab [Units/volume] in Serum","Both"
"3982-6","Procainamide [Mass/volume] in Serum or Plasma","Both"
"2839-9","Progesterone [Mass/volume] in Serum or Plasma","Both"
"27882-0","Proinsulin [Moles/volume] in Serum or Plasma","Both"
"2842-3","Prolactin [Mass/volume] in Serum or Plasma","Both"
"20568-2","Prolactin [Mass/volume] in Serum or Plasma by Immunoassay","Both"
"3545-1","Propoxyphene [Mass/volume] in Urine","Both"
"19141-1","Propoxyphene [Presence] in Urine","Both"
"19429-0","Propoxyphene [Presence] in Urine by Screen method","Both"
"17494-6","Prostaglandin F2 alpha [Mass/volume] in Urine","Both"
"2857-1","Prostate specific Ag [Mass/volume] in Serum or Plasma","Both"
"35741-8","Prostate specific Ag [Mass/volume] in Serum or Plasma by Detection limit <= 0.01 ng/mL","Both"
"10886-0","Prostate Specific Ag Free [Mass/volume] in Serum or Plasma","Both"
"19201-3","Prostate Specific Ag Free [Units/volume] in Serum or Plasma","Both"
"20420-6","Prostatic acid phosphatase [Mass/volume] in Serum","Both"
"2889-4","Protein [Mass/time] in 24 hour Urine","Both"
"21482-5","Protein [Mass/volume] in 24 hour Urine","Both"
"2881-1","Protein [Mass/volume] in Body fluid","Both"
"2880-3","Protein [Mass/volume] in Cerebral spinal fluid","Both"
"2885-2","Protein [Mass/volume] in Serum or Plasma","Both"
"2888-6","Protein [Mass/volume] in Urine","Both"
"35663-4","Protein [Mass/volume] in Urine collected for unspecified duration","Both"
"6007-9","Protein C [Units/volume] in Platelet poor plasma by Coagulation assay","Both"
"27818-4","Protein C actual/normal in Platelet poor plasma by Chromogenic method","Both"
"27819-2","Protein C actual/normal in Platelet poor plasma by Coagulation assay","Both"
"6009-5","Protein C Ag [Units/volume] in Platelet poor plasma by Immunoassay","Both"
"27820-0","Protein C Ag actual/normal in Platelet poor plasma by Immunoassay","Both"
"24351-9","Protein electrophoresis panel - Serum or Plasma","Order"
"5892-5","Protein S [Units/volume] in Platelet poor plasma by Coagulation assay","Both"
"27822-6","Protein S actual/normal in Platelet poor plasma by Coagulation assay","Both"
"27823-4","Protein S Ag actual/normal in Platelet poor plasma by Immunoassay","Both"
"27821-8","Protein S Free Ag actual/normal in Platelet poor plasma by Immunoassay","Both"
"2890-2","Protein/Creatinine [Mass Ratio] in Urine","Both"
"6968-2","Proteinase 3 Ab [Units/volume] in Serum","Both"
"46267-1","Proteinase 3 Ab [Units/volume] in Serum by Immunoassay","Both"
"3289-6","Prothrombin activity actual/normal in Platelet poor plasma by Coagulation assay","Both"
"5902-2","Prothrombin time (PT)","Both"
"2895-1","Protoporphyrin.zinc [Mass/volume] in Red Blood Cells","Both"
"29763-0","Protoporphyrin.zinc [Molar ratio] in Red Blood Cells","Both"
"34528-0","PT panel - Platelet poor plasma by Coagulation assay","Order"
"2900-9","Pyridoxine [Mass/volume] in Serum or Plasma","Both"
"14121-8","Pyruvate [Moles/volume] in Blood","Both"
"6222-4","Queen Palm IgE Ab [Units/volume] in Serum","Both"
"5290-2","Reagin Ab [Presence] in Cerebral spinal fluid by VDRL","Both"
"20507-0","Reagin Ab [Presence] in Serum by RPR","Both"
"5292-8","Reagin Ab [Presence] in Serum by VDRL","Both"
"22463-4","Reagin Ab [Presence] in Serum from Donor","Both"
"31147-2","Reagin Ab [Titer] in Serum by RPR","Both"
"32147-1","Reducing substances [Mass/volume] in Urine","Both"
"11060-1","Reducing substances [Presence] in Stool","Both"
"5809-9","Reducing substances [Presence] in Urine","Both"
"24362-6","Renal function 2000 panel - Serum or Plasma","Order"
"2915-7","Renin [Enzymatic activity/volume] in Plasma","Both"
"48841-1","Respiratory allergen panel, US - Alaska a - Serum","Order"
"48932-8","Respiratory allergen panel, US - Alaska b - Serum","Order"
"48835-3","Respiratory allergen panel, US - Arid southwest - Serum","Order"
"48931-0","Respiratory allergen panel, US - AZ, Southeastern CA, Western NM - Serum","Order"
"48837-9","Respiratory allergen panel, US - California central valley - Serum","Order"
"48840-3","Respiratory allergen panel, US - Cascade Pacific northwest a - Serum","Order"
"48929-4","Respiratory allergen panel, US - Cascade Pacific northwest b - Serum","Order"
"48919-5","Respiratory allergen panel, US - Central Florida - Serum","Order"
"48831-2","Respiratory allergen panel, US - Central midwest a - Serum","Order"
"48925-2","Respiratory allergen panel, US - Central midwest b - Serum","Order"
"49020-1","Respiratory allergen panel, US - Coastal California - Serum","Order"
"48832-0","Respiratory allergen panel, US - Great plains states a - Serum","Order"
"48926-0","Respiratory allergen panel, US - Great plains states b - Serum","Order"
"48828-8","Respiratory allergen panel, US - Greater Ohio valley a - Serum","Order"
"48923-7","Respiratory allergen panel, US - Greater Ohio valley b - Serum","Order"
"49021-9","Respiratory allergen panel, US - Greater Ohio valley c - Serum","Order"
"48933-6","Respiratory allergen panel, US - Hawaii - Serum","Order"
"48839-5","Respiratory allergen panel, US - Inland northwest a - Serum","Order"
"48928-6","Respiratory allergen panel, US - Inland northwest b - Serum","Order"
"48838-7","Respiratory allergen panel, US - Intermountain west a - Serum","Order"
"48930-2","Respiratory allergen panel, US - Intermountain west b - Serum","Order"
"49018-5","Respiratory allergen panel, US - Intermountain west c - Serum","Order"
"48825-4","Respiratory allergen panel, US - Mid Atlantic states - Serum","Order"
"48918-7","Respiratory allergen panel, US - NC, PA, SC, VA, WV - Serum","Order"
"48824-7","Respiratory allergen panel, US - North Atlantic states a - Serum","Order"
"48916-1","Respiratory allergen panel, US - North Atlantic states b - Serum","Order"
"49017-7","Respiratory allergen panel, US - North Atlantic states c - Serum","Order"
"48830-4","Respiratory allergen panel, US - Northern midwest states a - Serum","Order"
"48924-5","Respiratory allergen panel, US - Northern midwest states b - Serum","Order"
"49022-7","Respiratory allergen panel, US - Northern midwest states c - Serum","Order"
"49019-3","Respiratory allergen panel, US - Puerto Rico - Serum","Order"
"48834-6","Respiratory allergen panel, US - Rocky mountain states a - Serum","Order"
"48927-8","Respiratory allergen panel, US - Rocky mountain states b - Serum","Order"
"48826-2","Respiratory allergen panel, US - South Atlantic states a - Serum","Order"
"48917-9","Respiratory allergen panel, US - South Atlantic states b - Serum","Order"
"48829-6","Respiratory allergen panel, US - South central states - Serum","Order"
"48921-1","Respiratory allergen panel, US - Southeast coast - Serum","Order"
"48836-1","Respiratory allergen panel, US - Southern coastal California - Serum","Order"
"48920-3","Respiratory allergen panel, US - Southern Florida - Serum","Order"
"48833-8","Respiratory allergen panel, US - Southwestern grassland states - Serum","Order"
"48827-0","Respiratory allergen panel, US - Subtropical Florida - Serum","Order"
"48922-9","Respiratory allergen panel, US - West south central states - Serum","Order"
"5876-8","Respiratory syncytial virus Ag [Presence] in Unspecified specimen by Immunoassay","Both"
"5877-6","Respiratory syncytial virus Ag [Presence] in Unspecified specimen by Immunofluorescence","Both"
"9398-9","Reticulin Ab [Titer] in Serum","Both"
"4679-7","Reticulocytes/100 erythrocytes in Blood","Both"
"17849-1","Reticulocytes/100 erythrocytes in Blood by Automated count","Both"
"2923-1","Retinol [Mass/volume] in Serum or Plasma","Both"
"38496-6","Retinyl palmitate [Mass/volume] in Serum or Plasma","Both"
"10331-7","Rh [Type] in Blood","Both"
"1314-4","Rh immune globulin screen [interpretation]","Both"
"17532-3","Rheumatoid arthritis nuclear Ab [Presence] in Serum","Both"
"33910-1","Rheumatoid factor [Presence] in Serum","Both"
"5297-7","Rheumatoid factor [Presence] in Serum by Latex agglutination","Both"
"15205-8","Rheumatoid factor [Units/volume] in Serum by Nephelometry","Both"
"11572-5","Rheumatoid factor [Units/volume] in Serum or Plasma","Both"
"6695-1","Riboflavin [Mass/volume] in Blood","Both"
"8091-1","Ribonucleoprotein extractable nuclear Ab [Presence] in Serum","Both"
"5301-7","Ribonucleoprotein extractable nuclear Ab [Presence] in Serum by Immunoassay","Both"
"29374-6","Ribonucleoprotein extractable nuclear Ab [Units/volume] in Serum","Both"
"51928-0","Ribonucleoprotein extractable nuclear Ab [Units/volume] in Serum by Immunoassay","Both"
"6230-7","Rice IgE Ab [Units/volume] in Serum","Both"
"41476-3","Rickettsia rickettsii IgG Ab [Presence] in Serum by Immunoassay","Both"
"41475-5","Rickettsia rickettsii IgM Ab [Presence] in Serum by Immunoassay","Both"
"5880-0","Rotavirus Ag [Presence] in Stool by Immunoassay","Both"
"6233-1","Rough Pigweed IgE Ab [Units/volume] in Serum","Both"
"22496-4","Rubella virus Ab [Presence] in Serum","Both"
"5332-2","Rubella virus Ab [Presence] in Serum by Latex agglutination","Both"
"41763-4","Rubella virus IgG Ab [Titer] in Serum","Both"
"8014-3","Rubella virus IgG Ab [Units/volume] in Serum","Both"
"5334-8","Rubella virus IgG Ab [Units/volume] in Serum or Plasma by Immunoassay","Both"
"8015-0","Rubella virus IgM Ab [Units/volume] in Serum","Both"
"5335-5","Rubella virus IgM Ab [Units/volume] in Serum by Immunoassay","Both"
"13177-1","Russian olive IgE Ab [Units/volume] in Serum","Both"
"22412-1","Saccharopolyspora rectivirgula Ab [Presence] in Serum","Both"
"4024-6","Salicylates [Mass/volume] in Serum or Plasma","Both"
"35597-4","Salicylates [Mass/volume] in Serum or Plasma by Screen method","Both"
"4023-8","Salicylates [Presence] in Serum or Plasma","Both"
"6237-2","Salmon IgE Ab [Units/volume] in Serum","Both"
"43371-4","Salmonella and Shigella sp identified in Stool by Organism specific culture","Both"
"6234-9","Saltwort IgE Ab [Units/volume] in Serum","Both"
"7691-9","Scallop IgE Ab [Units/volume] in Serum","Both"
"25757-6","Schistosoma sp IgG Ab [Units/volume] in Serum by Immunoassay","Both"
"5348-8","SCL-70 extractable nuclear Ab [Presence] in Serum by Immunoassay","Both"
"27416-7","SCL-70 extractable nuclear Ab [Units/volume] in Serum","Both"
"48800-7","Second trimester quad maternal screen panel - Serum or Plasma","Order"
"5724-0","Selenium [Mass/volume] in Serum or Plasma","Both"
"54231-6","Semen analysis fertility panel","Order"
"13361-1","Semen analysis panel","Order"
"50677-4","Semen analysis post vasectomy panel","Order"
"2939-7","Serotonin [Mass/volume] in Blood","Both"
"27057-9","Serotonin [Mass/volume] in Serum","Both"
"6242-2","Sesame Seed IgE Ab [Units/volume] in Serum","Both"
"6138-2","Setomelanomma rostrata IgE Ab [Units/volume] in Serum","Both"
"13967-5","Sex hormone binding globulin [Moles/volume] in Serum or Plasma","Both"
"6244-8","Sheep Sorrel IgE Ab [Units/volume] in Serum","Both"
"6246-3","Shrimp IgE Ab [Units/volume] in Serum","Both"
"15283-5","Silver Birch IgE Ab [Units/volume] in Serum","Both"
"29247-4","Sirolimus [Mass/volume] in Blood","Both"
"5352-0","Sjogrens syndrome-A extractable nuclear Ab [Presence] in Serum by Immune diffusion (ID)","Both"
"5351-2","Sjogrens syndrome-A extractable nuclear Ab [Presence] in Serum by Immunoassay","Both"
"17792-3","Sjogrens syndrome-A extractable nuclear Ab [Units/volume] in Serum","Both"
"33569-5","Sjogrens syndrome-A extractable nuclear Ab [Units/volume] in Serum by Immunoassay","Both"
"5354-6","Sjogrens syndrome-B extractable nuclear Ab [Presence] in Serum by Immune diffusion (ID)","Both"
"5353-8","Sjogrens syndrome-B extractable nuclear Ab [Presence] in Serum by Immunoassay","Both"
"17791-5","Sjogrens syndrome-B extractable nuclear Ab [Units/volume] in Serum","Both"
"45142-7","Sjogrens syndrome-B extractable nuclear Ab [Units/volume] in Serum by Immunoassay","Both"
"5357-9","Smith extractable nuclear Ab [Presence] in Serum by Immune diffusion (ID)","Both"
"5356-1","Smith extractable nuclear Ab [Presence] in Serum by Immunoassay","Both"
"11090-8","Smith extractable nuclear Ab [Units/volume] in Serum","Both"
"43182-5","Smith extractable nuclear Ab [Units/volume] in Serum by Immunoassay","Both"
"27048-8","Smith extractable nuclear Ab+Ribonucleoprotein extractable nuclear Ab [Units/volume] in Serum","Both"
"21522-8","Smith extractable nuclear Ab+Ribonucleoprotein extractable nuclear IgG Ab [Units/volume] in Serum","Both"
"41053-0","SMN1 gene mutations found [Identifier] in Blood or Tissue by Molecular genetics method Nominal","Both"
"14252-1","Smooth muscle Ab [Presence] in Serum","Both"
"8095-2","Smooth muscle Ab [Titer] in Serum","Both"
"5358-7","Smooth muscle Ab [Titer] in Serum by Immunofluorescence","Both"
"2956-1","Sodium [Moles/time] in 24 hour Urine","Both"
"21525-1","Sodium [Moles/volume] in 24 hour Urine","Both"
"2947-0","Sodium [Moles/volume] in Blood","Both"
"2951-2","Sodium [Moles/volume] in Serum or Plasma","Both"
"2955-3","Sodium [Moles/volume] in Urine","Both"
"35678-2","Sodium [Moles/volume] in Urine collected for unspecified duration","Both"
"38420-6","Soluble liver IgG Ab [Units/volume] in Serum by Immunoassay","Both"
"2963-7","Somatotropin [Mass/volume] in Serum or Plasma","Both"
"6248-9","Soybean IgE Ab [Units/volume] in Serum","Both"
"2965-2","Specific gravity of Urine","Both"
"5811-5","Specific gravity of Urine by Test strip","Both"
"51623-7","Spermatozoa [#/volume] in Semen --post vasectomy","Both"
"6252-1","Stemphylium botryosum IgE Ab [Units/volume] in Serum","Both"
"6257-0","Strawberry IgE Ab [Units/volume] in Serum","Both"
"14207-5","Streptococcal DNAse B [Titer] in Serum","Both"
"582-7","Streptococcus agalactiae [Presence] in Genital specimen by Organism specific culture","Both"
"585-0","Streptococcus agalactiae [Presence] in Throat by Organism specific culture","Both"
"586-8","Streptococcus agalactiae [Presence] in Unspecified specimen by Organism specific culture","Both"
"584-3","Streptococcus agalactiae [Presence] in Vaginal fluid by Organism specific culture","Both"
"6551-6","Streptococcus agalactiae Ag [Presence] in Throat by Immunofluorescence","Both"
"11266-4","Streptococcus agalactiae Ag [Presence] in Unspecified specimen","Both"
"48683-7","Streptococcus agalactiae DNA [Presence] in Unspecified specimen by NAA with probe detection","Both"
"5034-4","Streptococcus agalactiae rRNA [Presence] in Unspecified specimen by Probe","Both"
"24027-5","Streptococcus pneumoniae Ag [Presence] in Urine","Both"
"11268-0","Streptococcus pyogenes [Presence] in Throat by Organism specific culture","Both"
"18481-2","Streptococcus pyogenes Ag [Presence] in Throat","Both"
"78012-2","Streptococcus pyogenes Ag [Presence] in Throat by Rapid immunoassay","Both"
"6559-9","Streptococcus pyogenes Ag [Presence] in Unspecified specimen by Immunofluorescence","Both"
"5036-9","Streptococcus pyogenes rRNA [Presence] in Unspecified specimen by Probe","Both"
"546-2","Streptococcus.beta-hemolytic [Presence] in Throat by Organism specific culture","Both"
"547-0","Streptococcus.beta-hemolytic [Presence] in Unspecified specimen by Organism specific culture","Both"
"22568-0","Streptolysin O Ab [Titer] in Serum","Both"
"5370-2","Streptolysin O Ab [Units/volume] in Serum or Plasma","Both"
"34376-4","Strongyloides sp IgG Ab [Units/volume] in Serum by Immunoassay","Both"
"11529-5","Surgical pathology study","Both"
"11253-2","Tacrolimus [Mass/volume] in Blood","Both"
"32721-3","Tacrolimus [Mass/volume] in Serum or Plasma","Both"
"65758-5","T-cell helper (CD4) subset panel - Blood","Order"
"65759-3","T-cell subsets CD4 and CD8 panel - Blood","Order"
"21751-3","TCRB gene rearrangements [Presence] in Blood or Tissue by Molecular genetics method","Both"
"2986-8","Testosterone [Mass/volume] in Serum or Plasma","Both"
"49041-7","Testosterone [Mass/volume] in Serum or Plasma by Detection limit <= 1.0 ng/dL","Both"
"2991-8","Testosterone Free [Mass/volume] in Serum or Plasma","Both"
"49042-5","Testosterone Free [Mass/volume] in Serum or Plasma by Detection limit <= 1.0 ng/dL","Both"
"25987-9","Testosterone Free [Moles/volume] in Serum or Plasma by Radioimmunoassay (RIA)","Both"
"8169-5","Tetrahydrocannabinol [Presence] in Meconium by Screen method","Both"
"3426-4","Tetrahydrocannabinol [Presence] in Urine","Both"
"19415-9","Tetrahydrocannabinol [Presence] in Urine by Screen method","Both"
"4049-3","Theophylline [Mass/volume] in Serum or Plasma","Both"
"2998-3","Thiamine [Mass/volume] in Blood","Both"
"2999-1","Thiamine [Mass/volume] in Serum or Plasma","Both"
"32554-8","Thiamine [Moles/volume] in Blood","Both"
"20468-5","Thiamine [Moles/volume] in Serum or Plasma","Both"
"21563-2","Thiopurine methyltransferase [Enzymatic activity/volume] in Red Blood Cells","Both"
"14182-0","Thrombin antithrombin complex Ag [Mass/volume] in Platelet poor plasma by Immunoassay","Both"
"3243-3","Thrombin time","Both"
"3013-0","Thyroglobulin [Mass/volume] in Serum or Plasma","Both"
"15210-8","Thyroglobulin Ab [Presence] in Serum","Both"
"5381-9","Thyroglobulin Ab [Titer] in Serum by Latex agglutination","Both"
"8098-6","Thyroglobulin Ab [Units/volume] in Serum or Plasma","Both"
"38505-4","Thyroglobulin recovery in Serum or Plasma","Both"
"30166-3","Thyroid stimulating immunoglobulins actual/normal in Serum","Both"
"32786-6","Thyroperoxidase Ab [Titer] in Serum or Plasma","Both"
"8099-4","Thyroperoxidase Ab [Units/volume] in Serum or Plasma","Both"
"29574-1","Thyrotropin [Presence] in DBS","Both"
"3016-3","Thyrotropin [Units/volume] in Serum or Plasma","Both"
"11580-8","Thyrotropin [Units/volume] in Serum or Plasma by Detection limit <= 0.005 mIU/L","Both"
"11579-0","Thyrotropin [Units/volume] in Serum or Plasma by Detection limit <= 0.05 mIU/L","Both"
"57416-0","Thyrotropin receptor Ab [Units/volume] in Serum by Immunoassay","Both"
"31144-9","Thyroxine (T4) [Mass/volume] in DBS","Both"
"3026-2","Thyroxine (T4) [Mass/volume] in Serum or Plasma","Both"
"38506-2","Thyroxine (T4) [Presence] in DBS","Both"
"3024-7","Thyroxine (T4) free [Mass/volume] in Serum or Plasma","Both"
"6892-4","Thyroxine (T4) free [Mass/volume] in Serum or Plasma by Dialysis","Both"
"3021-3","Thyroxine binding globulin [Mass/volume] in Serum or Plasma","Both"
"6265-3","Timothy IgE Ab [Units/volume] in Serum","Both"
"35280-7","Tissue transglutaminase IgA Ab [Presence] in Serum by Immunoassay","Both"
"31017-7","Tissue transglutaminase IgA Ab [Units/volume] in Serum","Both"
"46128-5","Tissue transglutaminase IgA Ab [Units/volume] in Serum by Immunoassay","Both"
"55727-2","Tissue transglutaminase IgA and IgG panel - Serum","Order"
"32998-7","Tissue transglutaminase IgG Ab [Units/volume] in Serum","Both"
"56537-4","Tissue transglutaminase IgG Ab [Units/volume] in Serum by Immunoassay","Both"
"35670-9","Tobramycin [Mass/volume] in Serum or Plasma","Both"
"4057-6","Tobramycin [Mass/volume] in Serum or Plasma --peak","Both"
"4059-2","Tobramycin [Mass/volume] in Serum or Plasma --trough","Both"
"6266-1","Tomato IgE Ab [Units/volume] in Serum","Both"
"17713-9","Topiramate [Mass/volume] in Serum or Plasma","Both"
"8039-0","Toxoplasma gondii IgG Ab [Units/volume] in Serum","Both"
"5388-4","Toxoplasma gondii IgG Ab [Units/volume] in Serum or Plasma by Immunoassay","Both"
"57770-0","Toxoplasma gondii IgG and IgM panel - Serum","Order"
"8040-8","Toxoplasma gondii IgM Ab [Units/volume] in Serum","Both"
"5390-0","Toxoplasma gondii IgM Ab [Units/volume] in Serum by Immunoassay","Both"
"36922-3","TPMT gene targeted mutation analysis in Blood or Tissue by Molecular genetics method","Both"
"19710-3","traMADol [Presence] in Urine by Screen method","Both"
"3034-6","Transferrin [Mass/volume] in Serum or Plasma","Both"
"30248-9","Transferrin receptor.soluble [Mass/volume] in Serum or Plasma","Both"
"22587-0","Treponema pallidum Ab [Presence] in Serum","Both"
"24312-1","Treponema pallidum Ab [Presence] in Serum by Agglutination","Both"
"24110-9","Treponema pallidum Ab [Presence] in Serum by Immunoassay","Both"
"5393-4","Treponema pallidum Ab [Presence] in Serum by Immunofluorescence","Both"
"41163-7","Treponema pallidum DNA [Presence] in Unspecified specimen by NAA with probe detection","Both"
"6561-5","Treponema pallidum IgG Ab [Presence] in Serum","Both"
"47238-1","Treponema pallidum IgG Ab [Presence] in Serum by Immunoassay","Both"
"17726-1","Treponema pallidum IgG Ab [Presence] in Serum by Immunofluorescence","Both"
"10728-4","Trichomonas sp identified in Genital specimen by Organism specific culture","Both"
"6565-6","Trichomonas vaginalis [Presence] in Genital specimen by Wet preparation","Both"
"6568-0","Trichomonas vaginalis rRNA [Presence] in Genital specimen by Probe","Both"
"46154-1","Trichomonas vaginalis rRNA [Presence] in Unspecified specimen by NAA with probe detection","Both"
"4073-3","Tricyclic antidepressants [Presence] in Serum or Plasma","Both"
"11004-9","Tricyclic antidepressants [Presence] in Urine","Both"
"19312-8","Tricyclic antidepressants [Presence] in Urine by Screen method","Both"
"3043-7","Triglyceride [Mass/volume] in Blood","Both"
"2571-8","Triglyceride [Mass/volume] in Serum or Plasma","Both"
"3053-6","Triiodothyronine (T3) [Mass/volume] in Serum or Plasma","Both"
"3051-0","Triiodothyronine (T3) Free [Mass/volume] in Serum or Plasma","Both"
"3052-8","Triiodothyronine (T3).reverse [Mass/volume] in Serum or Plasma","Both"
"3054-4","Triiodothyronine (T3).true [Mass/volume] in Serum or Plasma","Both"
"3050-2","Triiodothyronine resin uptake (T3RU) in Serum or Plasma","Both"
"42757-5","Troponin I.cardiac [Mass/volume] in Blood","Both"
"10839-9","Troponin I.cardiac [Mass/volume] in Serum or Plasma","Both"
"49563-0","Troponin I.cardiac [Mass/volume] in Serum or Plasma by Detection limit <= 0.01 ng/mL","Both"
"6598-7","Troponin T.cardiac [Mass/volume] in Serum or Plasma","Both"
"21582-2","Tryptase [Mass/volume] in Serum or Plasma","Both"
"6270-3","Tuna IgE Ab [Units/volume] in Serum","Both"
"35571-9","Tyrosine [Moles/volume] in DBS","Both"
"20660-7","Tyrosine [Moles/volume] in Serum or Plasma","Both"
"3087-4","Urate [Mass/time] in 24 hour Urine","Both"
"3084-1","Urate [Mass/volume] in Serum or Plasma","Both"
"3086-6","Urate [Mass/volume] in Urine","Both"
"3092-4","Urea [Mass/volume] in Urine","Both"
"22738-9","Urea [Moles/volume] in Unspecified specimen","Both"
"3096-5","Urea nitrogen [Mass/time] in 24 hour Urine","Both"
"6299-2","Urea nitrogen [Mass/volume] in Blood","Both"
"3093-2","Urea nitrogen [Mass/volume] in Body fluid","Both"
"3094-0","Urea nitrogen [Mass/volume] in Serum or Plasma","Both"
"11064-3","Urea nitrogen [Mass/volume] in Serum or Plasma --post dialysis","Both"
"11065-0","Urea nitrogen [Mass/volume] in Serum or Plasma --pre dialysis","Both"
"3095-7","Urea nitrogen [Mass/volume] in Urine","Both"
"3097-3","Urea nitrogen/Creatinine [Mass Ratio] in Serum or Plasma","Both"
"32637-1","Urease [Presence] in Tissue","Both"
"24356-8","Urinalysis complete panel - Urine","Order"
"58077-9","Urinalysis complete W Reflex Culture panel - Urine","Order"
"57020-0","Urinalysis dipstick W Reflex Microscopic panel - Urine","Order"
"24357-6","Urinalysis macro (dipstick) panel - Urine","Order"
"3107-0","Urobilinogen [Mass/volume] in Urine","Both"
"20405-7","Urobilinogen [Mass/volume] in Urine by Test strip","Both"
"19161-9","Urobilinogen [Units/volume] in Urine by Test strip","Both"
"4086-5","Valproate [Mass/volume] in Serum or Plasma","Both"
"20578-1","Vancomycin [Mass/volume] in Serum or Plasma","Both"
"4090-7","Vancomycin [Mass/volume] in Serum or Plasma --peak","Both"
"4092-3","Vancomycin [Mass/volume] in Serum or Plasma --trough","Both"
"9624-8","Vanillylmandelate [Mass/volume] in Urine","Both"
"43099-1","Vanillylmandelate and Creatinine panel - 24 hour Urine","Order"
"22600-1","Varicella zoster virus Ab [Presence] in Serum","Both"
"49451-8","Varicella zoster virus DNA [#/volume] (viral load) in Unspecified specimen by NAA with probe detection","Both"
"19162-7","Varicella zoster virus IgG Ab [Presence] in Serum","Both"
"15410-4","Varicella zoster virus IgG Ab [Presence] in Serum by Immunoassay","Both"
"8047-3","Varicella zoster virus IgG Ab [Units/volume] in Serum","Both"
"5403-1","Varicella zoster virus IgG Ab [Units/volume] in Serum by Immunoassay","Both"
"5404-9","Varicella zoster virus IgM Ab [Units/volume] in Serum by Immunoassay","Both"
"3125-2","Vasoactive intestinal peptide [Mass/volume] in Serum or Plasma","Both"
"3126-0","Vasopressin [Mass/volume] in Serum or Plasma","Both"
"6164-8","Virginia Live Oak IgE Ab [Units/volume] in Serum","Both"
"6584-7","Virus identified in Unspecified specimen by Culture","Both"
"3128-6","Viscosity of Serum","Both"
"35365-6","Vitamin D+Metabolites [Mass/volume] in Serum or Plasma","Both"
"6012-9","von Willebrand factor (vWf) Ag [Units/volume] in Platelet poor plasma by Immunoassay","Both"
"27816-8","von Willebrand factor (vWf) Ag actual/normal in Platelet poor plasma by Immunoassay","Both"
"53622-7","von Willebrand factor (vWf) cleaving protease actual/normal in Platelet poor plasma by Chromogenic method","Both"
"32217-2","von Willebrand factor (vWf) multimers [Presence] in Platelet poor plasma","Both"
"6014-5","von Willebrand factor (vWf) ristocetin cofactor actual/normal in Platelet poor plasma by Platelet aggregation","Both"
"38370-3","Voriconazole [Mass/volume] in Serum or Plasma","Both"
"6273-7","Walnut IgE Ab [Units/volume] in Serum","Both"
"32361-8","West Nile virus RNA [Presence] in Serum by NAA with probe detection","Both"
"6276-0","Wheat IgE Ab [Units/volume] in Serum","Both"
"6278-6","White Ash IgE Ab [Units/volume] in Serum","Both"
